,params,precisions,recalls,f1_scores,accuracy,aucs
156,"['gbdt', 40, 5, 0.0001, 50]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
157,"['gbdt', 40, 5, 0.0001, 100]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
158,"['gbdt', 40, 5, 0.0001, 150]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
252,"['dart', 20, 5, 0.0001, 50]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
253,"['dart', 20, 5, 0.0001, 100]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
254,"['dart', 20, 5, 0.0001, 150]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
300,"['dart', 30, 5, 0.0001, 50]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
301,"['dart', 30, 5, 0.0001, 100]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
302,"['dart', 30, 5, 0.0001, 150]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
348,"['dart', 40, 5, 0.0001, 50]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
