,params,precisions,recalls,f1_scores,accuracy,coef_s,aucs
173,"[0.51, 'sigmoid', 'scale', 'ovr', False]",0.06779661,0.558139535,0.120906801,0.520604396,coefs,0.659968596
188,"[0.56, 'sigmoid', 'scale', 'ovr', True]",0.06779661,0.558139535,0.120906801,0.520604396,coefs,0.659968596
189,"[0.56, 'sigmoid', 'scale', 'ovr', False]",0.06779661,0.558139535,0.120906801,0.520604396,coefs,0.659968596
204,"[0.6100000000000001, 'sigmoid', 'scale', 'ovr', True]",0.06779661,0.558139535,0.120906801,0.520604396,coefs,0.659968596
205,"[0.6100000000000001, 'sigmoid', 'scale', 'ovr', False]",0.06779661,0.558139535,0.120906801,0.520604396,coefs,0.659968596
126,"[0.36000000000000004, 'sigmoid', 'auto', 'ovr', True]",0.060498221,0.988372093,0.114017438,0.09271978,coefs,0.659968596
127,"[0.36000000000000004, 'sigmoid', 'auto', 'ovr', False]",0.060498221,0.988372093,0.114017438,0.09271978,coefs,0.659968596
6,"[0.01, 'poly', 'auto', 'ovr', True]",0.189189189,0.081395349,0.113821138,0.925137363,coefs,0.659968596
7,"[0.01, 'poly', 'auto', 'ovr', False]",0.189189189,0.081395349,0.113821138,0.925137363,coefs,0.659968596
94,"[0.26, 'sigmoid', 'auto', 'ovr', True]",0.05914718,1,0.111688312,0.06043956,coefs,0.659968596
95,"[0.26, 'sigmoid', 'auto', 'ovr', False]",0.05914718,1,0.111688312,0.06043956,coefs,0.659968596
78,"[0.21000000000000002, 'sigmoid', 'auto', 'ovr', True]",0.059106529,1,0.111615834,0.059752747,coefs,0.659968596
79,"[0.21000000000000002, 'sigmoid', 'auto', 'ovr', False]",0.059106529,1,0.111615834,0.059752747,coefs,0.659968596
14,"[0.01, 'sigmoid', 'auto', 'ovr', True]",0.059065934,1,0.11154345,0.059065934,coefs,0.659968596
15,"[0.01, 'sigmoid', 'auto', 'ovr', False]",0.059065934,1,0.11154345,0.059065934,coefs,0.659968596
30,"[0.060000000000000005, 'sigmoid', 'auto', 'ovr', True]",0.059065934,1,0.11154345,0.059065934,coefs,0.659968596
31,"[0.060000000000000005, 'sigmoid', 'auto', 'ovr', False]",0.059065934,1,0.11154345,0.059065934,coefs,0.659968596
46,"[0.11, 'sigmoid', 'auto', 'ovr', True]",0.059065934,1,0.11154345,0.059065934,coefs,0.659968596
47,"[0.11, 'sigmoid', 'auto', 'ovr', False]",0.059065934,1,0.11154345,0.059065934,coefs,0.659968596
62,"[0.16000000000000003, 'sigmoid', 'auto', 'ovr', True]",0.059065934,1,0.11154345,0.059065934,coefs,0.659968596
63,"[0.16000000000000003, 'sigmoid', 'auto', 'ovr', False]",0.059065934,1,0.11154345,0.059065934,coefs,0.659968596
110,"[0.31000000000000005, 'sigmoid', 'auto', 'ovr', True]",0.058986815,0.988372093,0.111329404,0.067994505,coefs,0.659968596
111,"[0.31000000000000005, 'sigmoid', 'auto', 'ovr', False]",0.058986815,0.988372093,0.111329404,0.067994505,coefs,0.659968596
100,"[0.31000000000000005, 'poly', 'scale', 'ovr', True]",0.102272727,0.104651163,0.103448276,0.892857143,coefs,0.659968596
101,"[0.31000000000000005, 'poly', 'scale', 'ovr', False]",0.102272727,0.104651163,0.103448276,0.892857143,coefs,0.659968596
72,"[0.21000000000000002, 'rbf', 'scale', 'ovr', True]",0.15,0.069767442,0.095238095,0.921703297,coefs,0.659968596
73,"[0.21000000000000002, 'rbf', 'scale', 'ovr', False]",0.15,0.069767442,0.095238095,0.921703297,coefs,0.659968596
308,"[0.9600000000000001, 'poly', 'scale', 'ovr', True]",0.15,0.069767442,0.095238095,0.921703297,coefs,0.659968596
309,"[0.9600000000000001, 'poly', 'scale', 'ovr', False]",0.15,0.069767442,0.095238095,0.921703297,coefs,0.659968596
120,"[0.36000000000000004, 'rbf', 'scale', 'ovr', True]",0.185185185,0.058139535,0.088495575,0.929258242,coefs,0.659968596
121,"[0.36000000000000004, 'rbf', 'scale', 'ovr', False]",0.185185185,0.058139535,0.088495575,0.929258242,coefs,0.659968596
104,"[0.31000000000000005, 'rbf', 'scale', 'ovr', True]",0.178571429,0.058139535,0.087719298,0.928571429,coefs,0.659968596
105,"[0.31000000000000005, 'rbf', 'scale', 'ovr', False]",0.178571429,0.058139535,0.087719298,0.928571429,coefs,0.659968596
88,"[0.26, 'rbf', 'scale', 'ovr', True]",0.166666667,0.058139535,0.086206897,0.927197802,coefs,0.659968596
89,"[0.26, 'rbf', 'scale', 'ovr', False]",0.166666667,0.058139535,0.086206897,0.927197802,coefs,0.659968596
256,"[0.81, 'linear', 'scale', 'ovr', True]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
257,"[0.81, 'linear', 'scale', 'ovr', False]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
258,"[0.81, 'linear', 'auto', 'ovr', True]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
259,"[0.81, 'linear', 'auto', 'ovr', False]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
272,"[0.8600000000000001, 'linear', 'scale', 'ovr', True]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
273,"[0.8600000000000001, 'linear', 'scale', 'ovr', False]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
274,"[0.8600000000000001, 'linear', 'auto', 'ovr', True]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
275,"[0.8600000000000001, 'linear', 'auto', 'ovr', False]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
288,"[0.91, 'linear', 'scale', 'ovr', True]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
289,"[0.91, 'linear', 'scale', 'ovr', False]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
290,"[0.91, 'linear', 'auto', 'ovr', True]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
291,"[0.91, 'linear', 'auto', 'ovr', False]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
304,"[0.9600000000000001, 'linear', 'scale', 'ovr', True]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
305,"[0.9600000000000001, 'linear', 'scale', 'ovr', False]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
306,"[0.9600000000000001, 'linear', 'auto', 'ovr', True]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
307,"[0.9600000000000001, 'linear', 'auto', 'ovr', False]",0.307692308,0.046511628,0.080808081,0.9375,coefs,0.659968596
176,"[0.56, 'linear', 'scale', 'ovr', True]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
177,"[0.56, 'linear', 'scale', 'ovr', False]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
178,"[0.56, 'linear', 'auto', 'ovr', True]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
179,"[0.56, 'linear', 'auto', 'ovr', False]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
192,"[0.6100000000000001, 'linear', 'scale', 'ovr', True]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
193,"[0.6100000000000001, 'linear', 'scale', 'ovr', False]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
194,"[0.6100000000000001, 'linear', 'auto', 'ovr', True]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
195,"[0.6100000000000001, 'linear', 'auto', 'ovr', False]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
208,"[0.66, 'linear', 'scale', 'ovr', True]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
209,"[0.66, 'linear', 'scale', 'ovr', False]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
210,"[0.66, 'linear', 'auto', 'ovr', True]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
211,"[0.66, 'linear', 'auto', 'ovr', False]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
224,"[0.7100000000000001, 'linear', 'scale', 'ovr', True]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
225,"[0.7100000000000001, 'linear', 'scale', 'ovr', False]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
226,"[0.7100000000000001, 'linear', 'auto', 'ovr', True]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
227,"[0.7100000000000001, 'linear', 'auto', 'ovr', False]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
240,"[0.76, 'linear', 'scale', 'ovr', True]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
241,"[0.76, 'linear', 'scale', 'ovr', False]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
242,"[0.76, 'linear', 'auto', 'ovr', True]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
243,"[0.76, 'linear', 'auto', 'ovr', False]",0.285714286,0.046511628,0.08,0.936813187,coefs,0.659968596
292,"[0.91, 'poly', 'scale', 'ovr', True]",0.125,0.058139535,0.079365079,0.92032967,coefs,0.659968596
293,"[0.91, 'poly', 'scale', 'ovr', False]",0.125,0.058139535,0.079365079,0.92032967,coefs,0.659968596
160,"[0.51, 'linear', 'scale', 'ovr', True]",0.266666667,0.046511628,0.079207921,0.936126374,coefs,0.659968596
161,"[0.51, 'linear', 'scale', 'ovr', False]",0.266666667,0.046511628,0.079207921,0.936126374,coefs,0.659968596
162,"[0.51, 'linear', 'auto', 'ovr', True]",0.266666667,0.046511628,0.079207921,0.936126374,coefs,0.659968596
163,"[0.51, 'linear', 'auto', 'ovr', False]",0.266666667,0.046511628,0.079207921,0.936126374,coefs,0.659968596
244,"[0.76, 'poly', 'scale', 'ovr', True]",0.12195122,0.058139535,0.078740157,0.919642857,coefs,0.659968596
